,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
34,78,32,110,141,15,94,94,31,47,110,15,79,0,16,78,93,79,15,110,15,110,62,110,47,94,31,109,78,79,78,78,15,78,93,94,16,32,63,47,47,31,94,2738,1
35,16,62,32,203,31,78,78,15,63,16,63,78,125,16,125,94,16,94,78,16,78,78,94,93,0,31,110,47,47,93,172,15,63,78,16,125,94,63,93,63,15,79,2846,1
36,47,281,125,125,500,94,94,78,78,78,156,235,235,31,94,62,188,250,78,47,63,78,157,125,78,94,94,156,94,110,156,47,125,109,125,62,63,47,265,62,16,94,5096,1
37,250,16,125,156,15,94,94,63,62,78,15,78,94,125,109,110,62,141,16,109,63,62,47,125,43,173,267,79,78,62,203,31,109,31,141,343,156,32,93,62,32,93,4137,1
38,78,47,156,63,141,46,63,15,94,78,156,235,0,46,109,62,85,43,78,110,93,78,0,31,1063,1172,16,156,94,110,156,47,125,109,125,62,93,32,78,62,16,94,5517,1
39,78,187,94,94,110,78,78,15,63,63,62,94,94,141,78,78,32,110,62,16,94,78,157,78,78,109,156,31,94,62,78,47,78,109,156,110,32,79,78,94,31,78,3534,1
40,110,15,78,93,79,78,78,31,78,47,47,62,94,109,79,62,63,62,203,265,32,62,78,78,16,94,94,47,110,62,156,63,125,78,94,156,62,78,78,125,16,94,3531,1
41,94,16,62,78,63,93,94,15,63,63,62,94,78,94,63,16,109,16,32,15,93,110,719,78,812,63,203,31,94,62,78,47,78,109,156,110,94,31,63,94,31,78,4454,1
42,109,31,109,109,79,94,94,32,93,93,32,110,110,62,62,32,62,63,78,16,63,79,157,62,562,94,16,656,47,63,32,78,79,766,782,15,47,125,16,15,62,47,5333,1
43,63,15,78,16,93,32,93,16,32,78,15,62,640,703,63,63,62,141,47,94,47,16,15,62,16,31,62,78,63,141,110,15,93,832,62,32,15,78,15,15,62,31,4297,1
44,94,157,15,46,63,94,63,31,78,93,32,110,0,15,125,110,31,16,703,16,47,62,738,832,719,812,47,656,47,63,32,78,79,766,782,15,31,109,16,15,62,47,7947,1
51,78,16,93,93,79,78,78,62,63,63,15,78,78,94,78,78,109,94,63,94,78,94,78,47,703,109,78,31,79,62,63,93,63,78,0,94,15,94,469,110,15,78,4015,1
52,94,15,94,93,156,62,204,15,78,110,15,93,47,125,219,62,47,94,79,78,15,15,63,78,94,63,46,63,78,62,63,94,62,78,93,32,78,156,78,94,31,78,3294,1
53,94,47,78,78,125,47,78,594,78,63,15,78,94,125,234,15,62,94,141,15,62,78,78,78,859,78,79,31,79,62,63,93,63,78,0,94,78,32,109,110,15,78,4452,1
54,93,16,94,94,94,78,78,140,94,94,78,125,125,94,78,78,141,250,125,109,172,94,140,110,906,94,891,94,156,78,94,94,203,94,78,78,94,63,109,78,78,78,5954,1
55,250,16,125,172,15,110,110,109,78,93,16,78,0,62,93,78,78,94,141,93,94,47,93,110,93,266,63,172,62,79,265,78,110,156,109,16,94,703,62,109,813,125,5530,1
56,140,16,94,93,110,93,172,15,78,94,78,125,891,93,172,94,141,93,94,78,78,156,78,156,1078,78,141,94,156,78,94,94,203,94,78,78,125,31,110,78,78,78,5998,1
57,562,16,78,78,110,78,78,109,94,94,0,94,94,109,94,62,157,93,78,15,79,94,94,93,94,109,234,109,62,94,94,125,78,78,594,125,78,47,78,93,47,78,4670,1
58,93,16,78,125,16,78,109,16,62,110,78,78,94,78,94,94,78,94,78,31,78,62,94,94,47,109,32,63,78,109,94,78,78,109,78,63,78,31,78,78,47,94,3172,1
59,156,47,78,94,94,94,79,31,93,94,0,94,94,78,94,31,94,47,47,31,78,78,110,109,62,94,78,109,62,94,94,125,78,78,594,125,94,172,94,93,47,78,4016,1
60,125,157,109,109,141,93,93,16,141,141,265,390,390,63,110,15,78,38,15,93,219,109,109,94,78,94,141,46,125,985,203,62,141,47,172,359,125,94,141,78,110,109,6223,1
61,38,129,297,110,47,109,594,94,15,172,250,31,0,15,187,985,94,140,94,125,125,94,94,62,31,78,235,94,172,109,16,110,78,157,282,15,344,406,16,156,313,391,6904,1
62,16,125,344,78,141,78,219,110,15,141,265,390,0,46,140,31,125,31,141,187,94,94,125,157,1312,109,94,46,125,985,203,62,141,47,172,359,391,31,109,78,110,109,7576,1
63,94,296,110,110,31,141,141,109,94,94,78,156,156,63,93,93,63,78,109,31,110,94,141,109,78,78,78,78,63,234,234,63,157,109,94,63,62,125,94,94,203,140,4641,1
64,78,94,94,172,63,156,128,63,93,94,16,62,0,78,125,234,78,94,94,94,62,641,78,108,94,62,94,78,94,78,156,47,109,141,78,140,32,93,47,78,63,109,4392,1
65,125,93,32,344,62,94,110,62,94,94,78,156,125,62,94,93,94,94,125,62,109,94,110,141,797,94,94,78,63,234,234,63,157,109,94,63,109,156,63,94,203,140,5392,1
69,141,16,93,93,172,94,94,125,62,62,391,110,110,15,110,78,235,93,78,109,79,125,204,109,109,47,172,297,78,235,297,31,141,93,282,109,344,62,360,93,32,109,5689,1
70,93,32,93,172,31,125,93,16,78,94,47,94,125,15,141,235,78,250,16,125,344,125,125,125,218,157,15,78,94,94,172,31,140,78,141,15,62,94,344,94,62,94,4655,1
71,234,141,62,394,16,94,79,31,94,62,391,110,0,15,109,16,63,218,125,188,109,94,156,78,1172,1313,16,297,78,235,297,31,141,93,282,109,94,141,266,93,32,109,7678,1
72,62,32,109,109,234,78,78,94,63,63,15,109,109,16,62,31,141,63,46,47,63,63,93,78,62,78,188,94,47,94,109,16,31,94,47,125,15,78,47,62,32,78,3155,1
73,63,15,94,109,16,78,79,15,31,78,63,31,0,15,62,94,78,78,78,63,15,93,110,62,94,62,94,78,63,62,94,47,94,109,78,110,62,31,63,63,47,94,2765,1
74,78,63,62,109,203,16,63,47,47,63,15,109,125,16,63,16,31,94,62,16,79,78,125,109,884,62,78,94,47,94,109,16,31,94,47,125,94,46,47,62,32,78,3729,1
78,141,15,82,82,121,102,102,31,118,118,53,91,91,259,144,63,62,109,31,78,16,125,125,93,875,125,125,156,47,78,110,94,187,110,343,125,110,31,125,94,15,125,5127,1
79,109,188,62,109,78,94,16,141,63,110,15,63,78,172,94,78,78,157,219,16,110,16,94,109,110,125,109,79,78,93,94,125,78,125,125,250,110,15,109,156,15,109,4174,1
80,125,15,110,110,78,109,16,93,532,118,53,91,94,223,125,16,93,110,156,16,78,171,125,125,125,110,219,156,47,78,110,94,187,110,343,125,109,16,125,94,15,125,4970,1
81,94,31,78,78,94,78,78,16,94,94,15,63,63,62,63,78,94,78,62,32,46,31,93,94,657,78,109,78,15,79,63,109,140,78,16,62,79,15,47,15,47,16,3312,1
82,78,16,62,62,94,125,156,32,78,78,79,62,515,63,78,79,62,78,78,31,79,15,47,172,109,63,94,63,62,125,78,79,78,109,172,15,63,47,78,109,16,79,3658,1
83,140,31,63,63,78,78,46,16,78,94,15,63,94,62,79,31,63,109,110,172,16,110,78,109,63,109,78,78,15,79,63,109,140,78,16,62,79,78,62,15,47,16,2985,1
90,125,62,94,94,125,63,63,78,109,109,63,78,78,125,47,78,109,172,46,16,63,125,78,63,63,172,78,265,79,78,141,46,32,62,32,109,41,65,78,78,15,63,3560,1
91,172,16,78,156,31,63,62,63,78,94,31,94,78,125,203,78,93,110,172,116,41,63,141,46,63,109,62,31,62,79,156,47,94,126,46,219,47,63,62,78,47,46,3641,1
92,94,31,47,63,62,78,63,15,94,109,63,78,62,125,110,78,47,63,32,31,62,94,62,126,906,94,172,265,79,78,141,46,32,62,32,109,46,47,94,78,15,63,4048,1
93,78,62,110,110,125,78,78,31,78,78,156,141,141,16,125,110,125,203,78,16,94,109,110,78,109,16,140,47,63,94,94,125,78,187,16,94,109,32,109,79,78,62,3862,1
94,203,31,125,110,125,94,32,218,110,78,16,62,172,15,94,94,62,125,109,63,109,78,94,78,109,79,15,63,93,79,78,110,78,110,93,32,78,16,93,94,31,63,3611,1
95,78,47,78,78,125,110,94,31,78,78,156,141,125,109,125,47,78,109,94,15,63,63,93,110,129,62,109,47,63,94,94,125,78,187,16,94,63,62,47,79,78,62,3614,1
96,62,32,78,78,125,47,47,46,63,63,47,62,62,141,62,63,125,78,62,110,78,78,110,78,63,140,79,78,62,79,79,140,47,63,15,78,47,94,63,78,16,62,3080,1
97,78,47,62,93,110,94,78,78,63,62,32,93,78,157,62,79,62,125,94,203,47,78,156,94,141,62,125,47,109,47,109,94,62,125,47,78,47,47,62,63,47,78,3515,1
98,63,125,47,94,94,62,78,47,62,63,47,62,63,140,78,46,47,141,78,31,63,63,78,125,79,171,94,78,62,79,79,140,47,63,15,78,78,62,63,78,16,62,3141,1
99,94,141,93,93,157,47,47,47,78,78,250,328,328,62,172,157,93,313,47,78,125,422,47,250,1078,94,172,62,78,344,140,234,63,47,125,78,62,125,125,78,31,94,6577,1
100,313,109,32,31,47,110,141,62,157,46,79,31,0,62,172,344,94,140,140,235,62,359,515,63,62,188,282,62,78,78,16,93,63,94,78,62,156,16,78,62,281,79,5172,1
101,78,78,156,297,47,78,125,78,15,78,250,328,0,63,172,47,63,62,109,141,62,94,125,94,0,47,140,62,78,344,140,234,63,47,125,78,79,31,109,78,31,94,4420,1
105,93,282,93,93,94,78,78,891,78,78,234,94,94,47,94,63,984,63,63,218,47,79,109,62,78,156,78,78,78,78,63,140,94,78,828,78,78,297,78,63,219,78,6749,1
106,63,297,62,47,141,62,78,250,63,62,188,62,93,63,109,78,63,203,78,250,78,93,47,78,125,62,125,62,94,62,78,140,78,94,62,344,94,484,79,78,204,62,4935,1
